"BKT","Date","Image","id","type","FC","CC","CP","Le","L","CI","k","imgchannel","gapmethod","imgmethod","thd"
"BKT01",2025-05-09,"UpperBKT01_20250509.JPG","Canopy20250509.jpg","knee",0.8606386179,0.9820265587,0.1236096312,3.941369697,4.106102112,0.959881072,0.5,3,"macfarlane","Otsu",0.013
"BKT03",2025-05-09,"UpperBKT03_20250509.JPG","Canopy20250509.jpg","knee",0.8123331798,0.9850186602,0.1753118874,3.346174243,3.430206677,0.9755022242,0.5,3,"macfarlane","Otsu",0.013
"BKT04",2025-05-09,"UpperBKT04_20250509.JPG","Canopy20250509.jpg","knee",0.8400733123,0.963978647,0.128535352,3.666079541,3.955303292,0.9268769726,0.5,3,"macfarlane","Otsu",0.013
"BKT05",2025-05-09,"UpperBKT05_20250509.JPG","Canopy20250509.jpg","knee",0.8190188643,0.9682407637,0.1541165225,3.418724952,3.62131016,0.944057482,0.5,3,"macfarlane","Otsu",0.013
"BKT06",2025-05-08,"UpperBKT06_20250508.JPG","Canopy20250508.jpg","knee",0.7415040621,0.8508958753,0.1285607516,2.705750598,3.490976824,0.7750697684,0.5,3,"macfarlane","Otsu",0.013
"BKT07",2025-05-08,"UpperBKT07_20250508.JPG","Canopy20250508.jpg","knee",0.7632222642,0.8863080967,0.1388747694,2.881266803,3.499468208,0.8233441859,0.5,3,"macfarlane","Otsu",0.013
"BKT08",2025-05-08,"UpperBKT08_20250508.JPG","Canopy20250508.jpg","knee",0.698172474,0.7591475537,0.08032045859,2.395799062,3.828731708,0.6257422155,0.5,3,"macfarlane","Otsu",0.013
"BKT09",2025-05-08,"UpperBKT09_20250508.JPG","Canopy20250508.jpg","knee",0.190567228,0.2158814143,0.1172596832,0.4228431163,0.9254250282,0.4569177442,0.5,3,"macfarlane","Otsu",0.013
"BKT10",2025-05-08,"UpperBKT10_20250508.JPG","Canopy20250508.jpg","knee",0.3433556679,0.3827495118,0.1029233029,0.841225517,1.740569634,0.4833047186,0.5,3,"macfarlane","Otsu",0.013
"BKT11",2025-06-11,"LowerBKT11_20250611.JPG","IMG_8683.JPG","ground",0.8331049192,0.9221377787,0.09655049553,3.580779846,4.311342938,0.8305486011,0.5,3,"macfarlane","Otsu",0.013
"BKT11",2025-06-11,"UpperBKT11_20250611.JPG","IMG_8682.JPG","knee",0.8106448019,0.8895529711,0.08870541917,3.328261345,4.309767251,0.7722601133,0.5,3,"macfarlane","Otsu",0.013
"BKT12",2025-06-11,"LowerBKT12_20250611.JPG","IMG_8685.JPG","ground",0.8662618693,0.9591021497,0.09679915787,4.02374328,4.479231439,0.8983110907,0.5,3,"macfarlane","Otsu",0.013
"BKT12",2025-06-11,"UpperBKT12_20250611.JPG","IMG_8684.JPG","knee",0.836553849,0.9227683164,0.09343024238,3.622543389,4.374918764,0.8280252924,0.5,3,"macfarlane","Otsu",0.013
"BKT13",2025-06-11,"LowerBKT13_20250611.JPG","IMG_8687.JPG","ground",0.8853675392,0.9824482841,0.09881511982,4.332048523,4.547762246,0.9525670623,0.5,3,"macfarlane","Otsu",0.013
"BKT13",2025-06-11,"UpperBKT13_20250611.JPG","IMG_8686.JPG","knee",0.8662217636,1,0.1337782364,4.023143604,4.023143604,1,0.5,3,"macfarlane","Otsu",0.013
"BKT14",2025-06-11,"LowerBKT14_20250611.JPG","IMG_8689.JPG","ground",0.8391487478,0.9593788711,0.1253207955,3.654550481,3.985026635,0.9170705283,0.5,3,"macfarlane","Otsu",0.013
"BKT14",2025-06-11,"UpperBKT14_20250611.JPG","IMG_8688.JPG","knee",0.8050112165,0.9265498204,0.1311733068,3.269626485,3.764082474,0.8686383753,0.5,3,"macfarlane","Otsu",0.013
"BKT15",2025-06-11,"LowerBKT15_20250611.JPG","IMG_8691.JPG","ground",0.860727277,0.9825524442,0.1239884628,3.942642465,4.102287644,0.9610838651,0.5,3,"macfarlane","Otsu",0.013
"BKT15",2025-06-11,"UpperBKT15_20250611.JPG","IMG_8690.JPG","knee",0.8766767316,1,0.1233232684,4.185892347,4.185892347,1,0.5,3,"macfarlane","Otsu",0.013
"BKT16",2025-06-11,"LowerBKT16_20250611.JPG","IMG_8693.JPG","ground",0.8593050405,0.9620238817,0.1067736915,3.92232228,4.30417896,0.9112823413,0.5,3,"macfarlane","Otsu",0.013
"BKT16",2025-06-11,"UpperBKT16_20250611.JPG","IMG_8692.JPG","knee",0.8471869554,0.9758612646,0.1318571747,3.757080071,3.954260013,0.9501348062,0.5,3,"macfarlane","Otsu",0.013
"BKT17",2025-06-17,"LowerBKT17_20250617.JPG","IMG_8734.JPG","ground",0.8816438564,0.9292068052,0.05118661263,4.268114068,5.523720501,0.7726882755,0.5,3,"macfarlane","Otsu",0.013
"BKT17",2025-06-17,"UpperBKT17_20250617.JPG","IMG_8733.JPG","knee",0.7251871765,0.8248450229,0.1208200857,2.58333011,3.486541939,0.7409433631,0.5,3,"macfarlane","Otsu",0.013
"BKT18",2025-06-18,"LowerBKT18_20250618.JPG","IMG_8736.JPG","ground",0.9161393869,0.9589684639,0.04466161157,4.957198452,5.96217727,0.83144097,0.5,3,"macfarlane","Otsu",0.013
