BKT_ID,stationID,Bucket,Camera,SDcard,Row ID,BKTID_ROW,date_set,date_check,trap hours,fish feeder,upload pictures,Latitude,Longitude,DMS,num_files,comments,Data inputed?
FAR_BKT06,FAR,BKT06,BUR7,SD11,40,BKT06_40,May/8/2025,May/28/2025,480:00:00,no,y,45.44333333,-122.681945,"45°26'36"" N 122°40'55""W",,,
FAR_BKT07,FAR,BKT07,BUR4,SD06,41,BKT07_41,May/8/2025,May/28/2025,480:00:00,no,y,45.443611,-122.681944,"45°26'37""N 122°40'55""W",,Cam outside and fish feeder,
FAR_BKT08,FAR,BKT08,BUR8,SD16,42,BKT08_42,May/8/2025,May/28/2025,480:00:00,no,y,45.4425,-122.681389,"45°26'33""N 122°40'53""W",,,done
FAR_BKT09,FAR,BKT09,BUR9,SD09,43,BKT09_43,May/8/2025,May/28/2025,480:00:00,no,y,45.442222,-122.681389,"45°26'32""N 122°40'53""W",4176,,
FAR_BKT10,FAR,BKT10,BUR1,SD01,44,BKT10_44,May/8/2025,May/28/2025,480:00:00,no,y,45.441944,-122.681111,"45°26'31""N 122°40'52""W",7314,Cam outside and fish feeder,
RFT_BKT01,RFT,BKT01,BUR1,SD01,1,BKT01_1,Jan/31/2025,Feb/6/2025,144:00:00,no,y,45.43487577,-122.6761513,"45°26'05.2""N 122°40'34.3""W",,,
RFT_BKT01,RFT,BKT01,BUR1,SD08,5,BKT01_5,Feb/6/2025,Feb/18/2025,288:00:00,no,y,45.43487577,-122.6761513,"45°26'05.2""N 122°40'34.3""W",,,
RFT_BKT01,RFT,BKT01,BUR1,SD01,9,BKT01_9,Feb/18/2025,Feb/28/2025,240:00:00,no,y,45.43487577,-122.6761513,"45°26'05.2""N 122°40'34.3""W",,,
RFT_BKT01,RFT,BKT01,BUR7,SD09,13,BKT01_13,Feb/28/2025,Mar/6/2025,144:00:00,no,y,45.43487577,-122.6761513,"45°26'05.2""N 122°40'34.3""W",4146,before canopy photos were taken,
RFT_BKT01,RFT,BKT01,BUR7,SD16,17,BKT01_17,Mar/6/2025,Mar/13/2025,168:00:00,no,y,45.43487577,-122.6761513,"45°26'05.2""N 122°40'34.3""W",,,
RFT_BKT01,RFT,BKT01,BUR7,SD13,21,BKT01_21,Mar/13/2025,Mar/20/2025,168:00:00,no,y,45.43487577,-122.6761513,"45°26'05.2""N 122°40'34.3""W",6360,,
RFT_BKT01,RFT,BKT01,BUR7,SD02,25,BKT01_25,Mar/20/2025,Apr/4/2025,360:00:00,no,y,45.43487577,-122.6761513,"45°26'05.2""N 122°40'34.3""W",2136,,
RFT_BKT01,RFT,BKT01,BUR7,SD11,30,BKT01_30,Apr/4/2025,Apr/12/2025,192:00:00,no,y,45.43487577,-122.6761513,"45°26'05.2""N 122°40'34.3""W",,,
RFT_BKT01,RFT,BKT01,BUR7,SD19,35,BKT01_35,Apr/12/2025,May/7/2025,600:00:00,no,did not record. check camera and sd card,45.43487577,-122.6761513,"45°26'05.2""N 122°40'34.3""W",,no pictures,
RFT_BKT02,RFT,BKT02,BUR4,SD04,2,BKT02_2,Jan/31/2025,Feb/6/2025,144:00:00,no,y,45.43450519,-122.6770157,"45°26'04.1""N 122°40'37.7""W",,,
RFT_BKT02,RFT,BKT02,BUR4,SD06,6,BKT02_6,Feb/6/2025,Feb/18/2025,288:00:00,no,y,45.43450519,-122.6770157,"45°26'04.1""N 122°40'37.7""W",,,
RFT_BKT02,RFT,BKT02,BUR4,SD11,10,BKT02_10,Feb/18/2025,Feb/28/2025,240:00:00,no,y,45.43450519,-122.6770157,"45°26'04.1""N 122°40'37.7""W",,,
RFT_BKT02,RFT,BKT02,BUR6,SD07,14,BKT02_14,Feb/28/2025,Mar/6/2025,144:00:00,no,y,45.43450519,-122.6770157,"45°26'04.1""N 122°40'37.7""W",,,
RFT_BKT02,RFT,BKT02,BUR6,SD14,18,BKT02_18,Mar/6/2025,Mar/13/2025,168:00:00,no,y,45.43450519,-122.6770157,"45°26'04.1""N 122°40'37.7""W",,,
RFT_BKT02,RFT,BKT02,BUR6,SD15,22,BKT02_22,Mar/13/2025,Mar/20/2025,168:00:00,no,cant open,45.43450519,-122.6770157,"45°26'04.1""N 122°40'37.7""W",,might be corrupted? wont let me open the sd card,
RFT_BKT02,RFT,BKT02,BUR6,SD20,26,BKT02_26,Mar/20/2025,Apr/4/2025,360:00:00,no,y,45.43450519,-122.6770157,"45°26'04.1""N 122°40'37.7""W",,,
RFT_BKT02,RFT,BKT02,BUR6,SD04,31,BKT02_31,Apr/4/2025,Apr/12/2025,192:00:00,no,y,45.43450519,-122.6770157,"45°26'04.1""N 122°40'37.7""W",,,
RFT_BKT02,RFT,BKT02,BUR6,SD05,36,BKT02_36,Apr/12/2025,May/7/2025,600:00:00,no,y,45.43450519,-122.6770157,"45°26'04.1""N 122°40'37.7""W",,,
RFT_BKT03,RFT,BKT03,BUR2,SD02,3,BKT03_3,Jan/31/2025,Feb/6/2025,144:00:00,no,y,45.43537211,-122.6798784,"45°26'07.2""N 122°40'47.5""W",831,before canopy photos were taken,
RFT_BKT03,RFT,BKT03,BUR2,SD07,7,BKT03_7,Feb/6/2025,Feb/18/2025,288:00:00,no,y,45.43537211,-122.6798784,"45°26'07.2""N 122°40'47.5""W",,,
RFT_BKT03,RFT,BKT03,BUR2,SD02,11,BKT03_11,Feb/18/2025,Feb/28/2025,240:00:00,no,y,45.43537211,-122.6798784,"45°26'07.2""N 122°40'47.5""W",,,
RFT_BKT03,RFT,BKT03,BUR2,SD10,15,BKT03_15,Feb/28/2025,Mar/6/2025,144:00:00,no,y,45.43537211,-122.6798784,"45°26'07.2""N 122°40'47.5""W",5208,before canopy photos were taken,
RFT_BKT03,RFT,BKT03,BUR2,SD12,19,BKT03_19,Mar/6/2025,Mar/13/2025,168:00:00,no,y,45.43537211,-122.6798784,"45°26'07.2""N 122°40'47.5""W",,,
RFT_BKT03,RFT,BKT03,BUR2,SD11,23,BKT03_23,Mar/13/2025,Mar/20/2025,168:00:00,no,y,45.43537211,-122.6798784,"45°26'07.2""N 122°40'47.5""W",,,
RFT_BKT03,RFT,BKT03,BUR2,SD05,27,BKT03_27,Mar/20/2025,Apr/4/2025,360:00:00,no,y,45.43537211,-122.6798784,"45°26'07.2""N 122°40'47.5""W",,,
RFT_BKT03,RFT,BKT03,BUR2,SD09,32,BKT03_32,Apr/4/2025,Apr/12/2025,192:00:00,no,y,45.43537211,-122.6798784,"45°26'07.2""N 122°40'47.5""W",,,
