"Site","Bucket","BKTID_ROW","latitude","longitude"
"FAR","BKT09","BKT09_43",45.442222,-122.681389
"FAR","BKT10","BKT10_44",45.441944,-122.681111
"HPT","BKT12","BKT12_46",45.44694,-122.67722
"HPT","BKT12","BKT12_55",45.44694,-122.67722
"HPT","BKT12","BKT12_64",45.44694,-122.67722
"HPT","BKT13","BKT13_56",45.44333,-122.67778
"HPT","BKT13","BKT13_65",45.44333,-122.67778
"HPT","BKT14","BKT14_48",45.445,-122.67611
"HPT","BKT14","BKT14_57",45.445,-122.67611
"HPT","BKT14","BKT17_69",45.4435,-122.67785
"HPT","BKT15","BKT15_49",45.44528,-122.67667
"HPT","BKT15","BKT15_58",45.44528,-122.67667
"HPT","BKT15","BKT15_67",45.44528,-122.67667
"HPT","BKT16","BKT16_50",45.445,-122.67694
"HPT","BKT16","BKT16_59",45.445,-122.67694
"HPT","BKT17","BKT17_51",45.4435,-122.67785
"HPT","BKT17","BKT17_60",45.4435,-122.67785
"HPT","BKT18","BKT18_52",45.44498,-122.67785
"HPT","BKT18","BKT18_61",45.44498,-122.67785
"Meadow","BKT20","BKT20_72",45.44139,-122.68028
"Meadow","BKT21","BKT21_73",45.44111,-122.68028
"Meadow","BKT22","BKT22_82",45.44056,-122.68028
"RFT","BKT01","BKT01_13",45.43487577,-122.6761513
"RFT","BKT01","BKT01_21",45.43487577,-122.6761513
"RFT","BKT01","BKT01_25",45.43487577,-122.6761513
"RFT","BKT02","BKT02_18",45.43450519,-122.6770157
"RFT","BKT02","BKT02_22",45.43450519,-122.6770157
"RFT","BKT02","BKT02_31",45.43450519,-122.6770157
"RFT","BKT02","BKT02_36",45.43450519,-122.6770157
"RFT","BKT03","BKT03_15",45.43537211,-122.6798784
"RFT","BKT03","BKT03_19",45.43537211,-122.6798784
"RFT","BKT03","BKT03_23",45.43537211,-122.6798784
"RFT","BKT03","BKT03_3",45.43537211,-122.6798784
"RFT","BKT03","BKT03_32",45.43537211,-122.6798784
"RFT","BKT04","BKT04_20",45.43559953,-122.6814345
"RFT","BKT04","BKT04_24",45.43559953,-122.6814345
"RFT","BKT04","BKT04_28",45.43559953,-122.6814345
"RFT","BKT04","BKT04_33",45.43559953,-122.6814345
"RFT","BKT04","BKT04_38",45.43559953,-122.6814345
"RFT","BKT05","BKT05_29",45.43333333,-122.6783333
"RFT","BKT05","BKT05_34",45.43333333,-122.6783333
"RFT","BKT05","BKT05_39",45.43333333,-122.6783333
"milk","BKT23","BKT23_83",45.44111,-122.68083
"milk","BKT24","BKT24_76",45.44083,-122.68083
