Site,elevation,latitude,longitude,full_ID,stationID ,filename,date,time,time_stamp,PESO,SOREX,UNK,VOLE ,SCIURIDAE,MUSTELIDAE,OTHER,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0001.jpg,2026-06-15,23:56:00,2026-06-15  23:56:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0002.jpg,2026-06-15,23:56:00,2026-06-15  23:56:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0003.jpg,2026-06-15,23:56:00,2026-06-15  23:56:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0004.jpg,2026-06-16,0:55:00,2026-06-16  0:55:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0005.jpg,2026-06-16,0:55:00,2026-06-16  0:55:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0006.jpg,2026-06-16,0:55:00,2026-06-16  0:55:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0007.jpg,2026-06-16,1:35:00,2026-06-16  1:35:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0008.jpg,2026-06-16,1:35:00,2026-06-16  1:35:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0009.jpg,2026-06-16,1:35:00,2026-06-16  1:35:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0010.jpg,2026-06-16,1:36:00,2026-06-16  1:36:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0011.jpg,2026-06-16,1:36:00,2026-06-16  1:36:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0012.jpg,2026-06-16,1:36:00,2026-06-16  1:36:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0013.jpg,2026-06-16,1:36:00,2026-06-16  1:36:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0014.jpg,2026-06-16,1:36:00,2026-06-16  1:36:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0015.jpg,2026-06-16,1:36:00,2026-06-16  1:36:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0016.jpg,2026-06-16,2:53:00,2026-06-16  2:53:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0017.jpg,2026-06-16,2:53:00,2026-06-16  2:53:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0018.jpg,2026-06-16,2:53:00,2026-06-16  2:53:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0019.jpg,2026-06-16,2:57:00,2026-06-16  2:57:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0020.jpg,2026-06-16,2:57:00,2026-06-16  2:57:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0021.jpg,2026-06-16,2:57:00,2026-06-16  2:57:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0022.jpg,2026-06-16,2:57:00,2026-06-16  2:57:0,0,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0023.jpg,2026-06-16,2:57:00,2026-06-16  2:57:0,0,0,0,0,0,0,0,
