"stationID","latitude","longitude","moon_bin","detections","observations","detection_prop"
"BOHO01",45.441706,-122.684142,"Very low",164,339,0.48377581120944
"BOHO01",45.441706,-122.684142,"Low",14,41,0.341463414634146
"BOHO01",45.441706,-122.684142,"Moderate",21,42,0.5
"BOHO01",45.441706,-122.684142,"High",26,53,0.490566037735849
"BOHO01",45.441706,-122.684142,"Very high",5,18,0.277777777777778
"BOHO02",45.4416,-122.6826,"Very low",175,339,0.51622418879056
"BOHO02",45.4416,-122.6826,"Low",19,41,0.463414634146341
"BOHO02",45.4416,-122.6826,"Moderate",23,42,0.547619047619048
"BOHO02",45.4416,-122.6826,"High",26,53,0.490566037735849
"BOHO02",45.4416,-122.6826,"Very high",9,18,0.5
"BOHO03",45.440063,-122.682219,"Very low",175,339,0.51622418879056
"BOHO03",45.440063,-122.682219,"Low",18,41,0.439024390243902
"BOHO03",45.440063,-122.682219,"Moderate",18,42,0.428571428571429
"BOHO03",45.440063,-122.682219,"High",25,53,0.471698113207547
"BOHO03",45.440063,-122.682219,"Very high",7,18,0.388888888888889
"BOHO04",45.4402941,-122.6813104,"Very low",157,339,0.463126843657817
"BOHO04",45.4402941,-122.6813104,"Low",20,41,0.48780487804878
"BOHO04",45.4402941,-122.6813104,"Moderate",24,42,0.571428571428571
"BOHO04",45.4402941,-122.6813104,"High",23,53,0.433962264150943
"BOHO04",45.4402941,-122.6813104,"Very high",9,18,0.5
